,text,favorite_count,retweet_count,created_at
110,"meeting on war crimes to convene in uk 

justice ministers from around the world will meet in london this march to discuss how to best support investigations of war crimes arising out of russia’s invasion of ukraine.
",70,20,2023-01-07 11:30:00+00:00
111,"rt @timand2037: after 8 years of this in donbass, #russia intervened. valentina popova lost a leg and arm to shelling. “we used to dance, s…",0,85,2023-01-07 11:29:53+00:00
112,"@namjimjaew12 @krishgm except it really isn't any longer. 

just check out the ilga europe rankings. in 2015 the uk topped their charts. in 2022 we had dropped to 14th place, or 21st place for trans people (just above russia in 22nd). hate crimes are increasing every year.
",0,0,2023-01-07 11:29:47+00:00
113,"rt @thestudyofwar: this, the isw said, would allow #moscow to support the ""baseless"" narrative that #ukraine is persecuting #orthodox chris…",0,54,2023-01-07 11:29:33+00:00
114,rt @bbcworld: ukraine war: ballerinas fight culture war against russia ,0,83,2023-01-07 11:29:22+00:00
115,"# we have the technological knowhow to combat climate change — now we need to galvanise action to use it if russia cuts off gas supplies to europe, britain might not be immune to shortages amid rising competition for fuel",0,0,2023-01-07 11:29:16+00:00
116,"rt @gatorinvestor: @martyrmade you and the complete wet lettuces defending your cowardice in here make me laugh. grow a backbone.

russia i…",0,1,2023-01-07 11:29:13+00:00
117,# customs data suggest demand from beijing and new delhi is largely offsetting loss of sales to europe 🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑🍳🥚🍤🍒🍊🍯🍞financial sanctions on russia have made potash supplies harder to obtain,0,0,2023-01-07 11:28:51+00:00
118,# three of the of the most popular etps with investors were 3x leveraged and inverse overseas vehicles 🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿🍩🍪🍒🍈🥑russia indefinitely suspends nord stream pipeline to europe,0,0,2023-01-07 11:28:49+00:00
119,"in a ukraine workshop, the quest to build the perfect grenade  ",1,0,2023-01-07 11:28:47+00:00
120,"@sebastiankurz this woodpecker wants to sens a message, just like the other clown from vienna, and the message is : orthodox world belongs to russia. it will not happen you austrian clowns just because you want so. we are luck with usa in estern europe, otherwise you would sell us again to ru.",0,0,2023-01-07 11:28:31+00:00
121,"rt @ilvestoomas: grim reading. 

the threat from russia to europe will not end with the end of its war against ukraine. 

not the way the c…",0,61,2023-01-07 11:28:12+00:00
122,# fuel returns to levels reached before shale drilling boom as lng exports head to europe 🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳russia’s invasion of ukraine forces rethink of geopolitical tensions in asia,0,0,2023-01-07 11:27:56+00:00
123,"rt @ifex: 4 key free expression stories explored in our 2022 review: 
➡️#russia's invasion of #ukraine 
➡️#belarus's ""devastating year for…",0,6,2023-01-07 11:26:54+00:00
124,@zukosmama what exactly is feminist to you about this? ,0,0,2023-01-07 11:26:50+00:00
125,"# plus, renewed scrutiny on crypto scams and the latest decentralised crypto blunder 🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇🍓🍬🍫🍿europe plans for risk that russia cuts gas supply this year",0,0,2023-01-07 11:26:21+00:00
126,"@jovanc937 @tim22282221 @3lmerfvdd is just justifying and codifying russia's imperial past.

which is of course exactly what putin wants to do.

",0,0,2023-01-07 11:26:06+00:00
127,"@think_london @carlbildt umm for your info, us are our biggest allies, business etc, kinda like them where they are.
you wouldn't say that if russia was bombing our london like hitler done in ww2. so yeah, i support ukraine and us for all their help keeping russia out of europe.
thank you",0,0,2023-01-07 11:25:59+00:00
128,rt @kimiversenshow: the gas heating prices in california have suddenly tripled over what was already suddenly doubled. meaning we are now p…,0,812,2023-01-07 11:25:39+00:00
129,# strong inflows help assets rise even as active mutual fund holdings plunge 20 🍞🥐🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓russia’s war in ukraine could force rethink of plans to end production at europe’s largest gasfield despite its link to earth tremors,0,0,2023-01-07 11:25:16+00:00
130,"in a ukraine workshop, the quest to build the perfect grenade  #breakingnews",0,0,2023-01-07 11:25:09+00:00
131,"rt @rob_kimbell: the continent of europe's #2 economy the united kingdom, #4 russia, #8 turkey, #9 switzerland and #14 norway are all outsi…",0,40,2023-01-07 11:25:06+00:00
132,# luxury fashion house wants to broaden its investor base 🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍criticism follows news of edf plant’s closure and risk of russia halting gas shipments to europe,0,0,2023-01-07 11:24:41+00:00
133,"@m3ad @johnhawkinsrwn @zelenskyyua @gopleader russia will never attack any european country even if russia takes the power in kiev.
ukrainian beggars ask for money from the usa and the eu by showing them a fake threat which could be come from russia to whole europe😂",0,0,2023-01-07 11:24:19+00:00
134,rt @thesiriusreport: tehran is seemingly unwilling to allow europe any investment opportunities in iran compared to the huge deals signed w…,0,162,2023-01-07 11:24:09+00:00
135,"
its  ashame innocent ppl have 2 die because of this embassil putin, pay back is a b***h.",0,0,2023-01-07 11:23:33+00:00
136,rt @imatviyishyn: the prosecutor’s department has already opened 154 cases of conflict-related sexual violence but the real number is “much…,0,18,2023-01-07 11:23:17+00:00
137,"in a ukraine workshop, the quest to build the perfect grenade   ",0,0,2023-01-07 11:23:14+00:00
138,"rt @euromaidanpress: us to start training ukrainians on patriot missile system later this month, training to take several months

",0,37,2023-01-07 11:23:10+00:00
