,text,favorite_count,retweet_count,created_at
73,"Nice Q&amp;A w/ @jejomath on data science &amp; software teams in biotech https://t.co/Qm1urAetdr

Key points:
- communication norms &gt; org structure
- hard but valuable to debug communication btwn digital &amp; wet lab teams
- diff teams use same words for diff things b/c diff mental models",0,0,2023-01-05 20:26:44+00:00
74,"RT @IshaqAsif: Postdoctoral Research Fellow 
Global Water Data Science 
#dundeeuni #DundeeWater #hiring #dundee #postdoc #water #unesco
htt…",0,1,2023-01-05 20:25:37+00:00
75,4 data science predictions for 2023 https://t.co/H1cg8Z6PKU #digitalmarketingstrategy #data #trends,0,0,2023-01-05 20:25:13+00:00
76,"RT @python_spaces: If you are looking for remote jobs in Data Science, open this. 

A Thread 🧵👇 https://t.co/g1pbtRI434",0,25,2023-01-05 20:24:39+00:00
77,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:24:09+00:00
78,"RT @ChrisStaud: 7 Tools and Resources to Help You Land a Job in Programming, Data Science, DevOps &amp; More:",0,183,2023-01-05 20:24:01+00:00
79,"RT @cherthedev: Facial recognition software is dangerous.

There is no benefit that outweighs the damage these tools have caused. None.

Bi…",0,46,2023-01-05 20:23:35+00:00
80,"RT @CenterForAstro: Have you heard of @NASA's #AstrophotoChallenge? Mary Dussault, who helps manage the challenge, speaks with @KXAN_News o…",0,3,2023-01-05 20:23:00+00:00
81,"RT @cherthedev: Facial recognition software is dangerous.

There is no benefit that outweighs the damage these tools have caused. None.

Bi…",0,46,2023-01-05 20:22:31+00:00
82,"RT @HeatherEHeying: We should all care. 

When data monkeys trot out “results” generated from assumptions that fit their own preconceptions…",0,30,2023-01-05 20:22:16+00:00
83,"RT @cherthedev: Facial recognition software is dangerous.

There is no benefit that outweighs the damage these tools have caused. None.

Bi…",0,46,2023-01-05 20:22:12+00:00
84,"RT @cherthedev: Facial recognition software is dangerous.

There is no benefit that outweighs the damage these tools have caused. None.

Bi…",0,46,2023-01-05 20:21:36+00:00
85,"RT @EricTopol: The hidden humanitarian Covid crisis in China
https://t.co/3ejhlzkLvv @ScienceMagazine 
https://t.co/vUaOtrxJAm @joyuwang 
@…",0,29,2023-01-05 20:21:07+00:00
86,"RT @SanthoshKumarS_: If you want Remote Data Science / Analyst roles that pay in USD,

-- Open this Thread --",0,794,2023-01-05 20:20:57+00:00
87,"RT @ezekiel_aleke: Free certifications in 2023:

Python, Data Science, ML, AI:
~ https://t.co/cwZyia9NCq
~ https://t.co/UTmBk1cfiW
~ https:…",0,1125,2023-01-05 20:20:57+00:00
88,"RT @paulabartabajo_: Overwhelmed by the massive amount of Data Science courses to choose from? 🤯

There is a better way to learn data scien…",0,32,2023-01-05 20:20:11+00:00
89,"RT @NASAGoddard: Combining art and science makes a connection with audiences that data alone might not, Mark said. In his viral 2022 ""Clima…",0,16,2023-01-05 20:19:28+00:00
